year,geo,disagg,value
2014,IRL,Management of resources,21.81222357
2014,IRL,Research and development,0.804302651
2014,IRL,Total,22.616526221
2015,IRL,Management of resources,21.35486039
2015,IRL,Research and development,0.6198835
2015,IRL,Total,21.97474389
2016,IRL,Management of resources,36.80454278
2016,IRL,Research and development,0.472198079
2016,IRL,Total,37.276740859
2017,IRL,Management of resources,13.33459176
2017,IRL,Research and development,0.278582709
2017,IRL,Total,13.613174469
2018,IRL,Management of resources,15.11428844
2018,IRL,Research and development,3.8147517
2018,IRL,Total,18.929040139999998
2010,ISL,Management of resources,11.7696664
2010,ISL,Research and development,17.07879829
2010,ISL,Total,28.84846469
2011,ISL,Management of resources,13.07536284
2011,ISL,Research and development,18.63293057
2011,ISL,Total,31.70829341
2012,ISL,Management of resources,13.08761937
2012,ISL,Research and development,18.2986898
2012,ISL,Total,31.386309169999997
2013,ISL,Management of resources,14.0299287
2013,ISL,Research and development,19.61243242
2013,ISL,Total,33.642361120000004
2014,ISL,Management of resources,15.2560656
2014,ISL,Research and development,21.32609777
2014,ISL,Total,36.58216337
2015,ISL,Management of resources,15.15359594
2015,ISL,Research and development,16.82460837
2015,ISL,Total,31.978204310000002
2016,ISL,Management of resources,15.225052
2016,ISL,Research and development,15.10416026
2016,ISL,Total,30.32921226
2017,ISL,Management of resources,18.97757671
2017,ISL,Research and development,26.6327319
2017,ISL,Total,45.610308610000004
2018,ISL,Management of resources,17.81437889
2018,ISL,Research and development,28.0966121
2018,ISL,Total,45.91099099
2010,ITA,Management of resources,0.009016699
2010,ITA,Research and development,14.73494213
2010,ITA,Total,14.743958829
2011,ITA,Management of resources,0.086284926
2011,ITA,Research and development,12.07914445
2011,ITA,Total,12.165429375999999
2012,ITA,Management of resources,0.872419141
2012,ITA,Research and development,6.39962939
2012,ITA,Total,7.272048531
2013,ITA,Management of resources,1.296465413
2013,ITA,Research and development,6.339142632
2013,ITA,Total,7.635608045
2014,ITA,Management of resources,0.664716439
2014,ITA,Research and development,6.924392302
2014,ITA,Total,7.589108741
2015,ITA,Management of resources,2.308374913
2015,ITA,Research and development,1.979299735
2015,ITA,Total,4.287674648
2016,ITA,Management of resources,15.75191241
2016,ITA,Research and development,28.64028946
2016,ITA,Total,44.39220187
2017,ITA,Management of resources,4.048752063
2017,ITA,Research and development,2.088534784
2017,ITA,Total,6.137286847
2018,ITA,Management of resources,35.63992488
2018,ITA,Research and development,2.073225583
2018,ITA,Total,37.713150463000005
2014,JPN,Management of resources,411.0993194
2014,JPN,Research and development,155.2873587
2014,JPN,Total,566.3866781
2015,JPN,Management of resources,346.6755692
2015,JPN,Research and development,138.5041366
2015,JPN,Total,485.17970579999997
2016,JPN,Management of resources,340.69406
2016,JPN,Research and development,157.7829216
2016,JPN,Total,498.4769816
2017,JPN,Management of resources,295.9644374
2017,JPN,Research and development,153.4358097
2017,JPN,Total,449.4002471
2018,JPN,Management of resources,243.0353525
2018,JPN,Research and development,213.3262689
2018,JPN,Total,456.3616214
2017,KOR,Management of resources,116.8803385
2017,KOR,Total,116.8803385
2018,KOR,Management of resources,123.3809641
2018,KOR,Total,123.3809641
2010,LTU,Management of resources,0.843891038
2010,LTU,Research and development,0.376140737
2010,LTU,Total,1.220031775
2011,LTU,Management of resources,0.755990716
2011,LTU,Research and development,0.933719766
2011,LTU,Total,1.689710482
2012,LTU,Management of resources,0.608265632
2012,LTU,Research and development,0.346761414
2012,LTU,Total,0.9550270459999999
2013,LTU,Management of resources,0.775115138
2013,LTU,Research and development,0.939392781
2013,LTU,Total,1.7145079189999999
2014,LTU,Management of resources,1.719332682
2014,LTU,Research and development,1.38822257
2014,LTU,Total,3.107555252
2015,LTU,Management of resources,2.022868351
2015,LTU,Research and development,2.26616038
2015,LTU,Total,4.289028731
2016,LTU,Management of resources,4.0060522
2016,LTU,Research and development,3.037045343
2016,LTU,Total,7.043097543
2017,LTU,Management of resources,2.921745057
2017,LTU,Total,2.921745057
2018,LTU,Management of resources,1.731519655
2018,LTU,Research and development,0.078581466
2018,LTU,Total,1.810101121
2019,LTU,Management of resources,1.747358646
2019,LTU,Research and development,0.121733025
2019,LTU,Total,1.8690916709999998
2010,MEX,Management of resources,5.224875596
2010,MEX,Total,5.224875596
2011,MEX,Management of resources,5.871123341
2011,MEX,Total,5.871123341
2012,MEX,Management of resources,5.323110582
2012,MEX,Total,5.323110582
2013,MEX,Management of resources,5.71658241
2013,MEX,Total,5.71658241
2014,MEX,Management of resources,5.260993831
2014,MEX,Total,5.260993831
2015,MEX,Management of resources,3.275755187
2015,MEX,Total,3.275755187
2016,MEX,Management of resources,7.242021776
2016,MEX,Total,7.242021776
2017,MEX,Management of resources,8.462499742
2017,MEX,Total,8.462499742
2018,MEX,Management of resources,7.456397267
2018,MEX,Total,7.456397267
2013,MYS,Management of resources,0.090455104
2013,MYS,Research and development,0.317386329
2013,MYS,Total,0.40784143300000003
2014,MYS,Management of resources,0.728756882
2014,MYS,Research and development,1.965351893
2014,MYS,Total,2.694108775
2015,MYS,Management of resources,0.610592471
2015,MYS,Research and development,1.630806725
2015,MYS,Total,2.241399196
2016,MYS,Management of resources,0.309901898
2016,MYS,Research and development,2.074051615
2016,MYS,Total,2.3839535130000002
2010,NLD,Management of resources,2.185177357
2010,NLD,Research and development,1.593333326
2010,NLD,Total,3.7785106830000004
2011,NLD,Management of resources,2.258146744
2011,NLD,Research and development,2.761500138
2011,NLD,Total,5.019646882
2012,NLD,Management of resources,8.071138657
2012,NLD,Research and development,4.318435965
2012,NLD,Total,12.389574622000001
2013,NLD,Management of resources,8.985098952
2013,NLD,Research and development,11.00132452
2013,NLD,Total,19.986423472
2014,NLD,Management of resources,9.7244066
2014,NLD,Research and development,10.2750961
2014,NLD,Total,19.9995027
2015,NLD,Management of resources,7.765252909
2015,NLD,Research and development,8.37119667
2015,NLD,Total,16.136449579
2016,NLD,Management of resources,7.740952117
2016,NLD,Research and development,16.01852805
2016,NLD,Total,23.759480167
2017,NLD,Management of resources,8.719019784
2017,NLD,Research and development,0.522881579
2017,NLD,Total,9.241901363
2018,NLD,Management of resources,8.261297912
2018,NLD,Total,8.261297912
2010,NOR,Management of resources,127.4206451
2010,NOR,Research and development,89.53156707
2010,NOR,Total,216.95221217
2011,NOR,Management of resources,147.4076109
2011,NOR,Research and development,98.14910272
2011,NOR,Total,245.55671362
2012,NOR,Management of resources,136.7048615
2012,NOR,Research and development,73.9695318
2012,NOR,Total,210.6743933
2013,NOR,Management of resources,154.7914235
2013,NOR,Research and development,90.10799579
2013,NOR,Total,244.89941929000003
2014,NOR,Management of resources,144.7820151
2014,NOR,Research and development,73.89785764
2014,NOR,Total,218.67987274
2015,NOR,Management of resources,109.9472968
2015,NOR,Research and development,113.7757667
2015,NOR,Total,223.72306350000002
2016,NOR,Management of resources,102.3485585
2016,NOR,Research and development,67.21265767
2016,NOR,Total,169.56121617
2017,NOR,Management of resources,93.87368119
2017,NOR,Research and development,57.23285902
2017,NOR,Total,151.10654021
2018,NOR,Management of resources,96.61317607
2018,NOR,Research and development,72.31987949
2018,NOR,Total,168.93305556
2010,NZL,Management of resources,41.19507378
2010,NZL,Total,41.19507378
2011,NZL,Management of resources,45.64504928
2011,NZL,Total,45.64504928
2012,NZL,Management of resources,47.52076328
2012,NZL,Research and development,26.66130733
2012,NZL,Total,74.18207061
2013,NZL,Management of resources,30.1241915
2013,NZL,Research and development,28.72663311
2013,NZL,Total,58.850824610000004
2014,NZL,Management of resources,48.28322242
2014,NZL,Research and development,34.3111521
2014,NZL,Total,82.59437452
2015,NZL,Management of resources,35.84760602
2015,NZL,Research and development,29.33152896
2015,NZL,Total,65.17913498
2016,NZL,Management of resources,40.48546675
2016,NZL,Research and development,31.20698644
2016,NZL,Total,71.69245319000001
2017,NZL,Management of resources,48.04324633
2017,NZL,Research and development,24.60758712
2017,NZL,Total,72.65083345000001
2018,NZL,Management of resources,47.88443405
2018,NZL,Research and development,35.29961663
2018,NZL,Total,83.18405068000001
2012,PER,Management of resources,16.47235456
2012,PER,Research and development,13.31693334
2012,PER,Total,29.789287899999998
2013,PER,Management of resources,15.20927175
2013,PER,Research and development,15.70201617
2013,PER,Total,30.91128792
2014,PER,Management of resources,21.47824818
2014,PER,Research and development,25.03790508
2014,PER,Total,46.51615326
2015,PER,Management of resources,18.93454789
2015,PER,Research and development,20.98227457
2015,PER,Total,39.916822460000006
2016,PER,Management of resources,15.75701065
2016,PER,Research and development,19.3295893
2016,PER,Total,35.08659995
2017,PER,Management of resources,21.23890855
2017,PER,Research and development,23.00462792
2017,PER,Total,44.24353647
2018,PER,Management of resources,14.01101923
2018,PER,Research and development,24.59690594
2018,PER,Total,38.60792517
2010,PHL,Management of resources,0.002215087
2010,PHL,Total,0.002215087
2011,PHL,Management of resources,0.003583253
2011,PHL,Total,0.003583253
2012,PHL,Management of resources,0.005849748
2012,PHL,Total,0.005849748
2013,PHL,Management of resources,0.020733606
2013,PHL,Total,0.020733606
2014,PHL,Management of resources,0.01165919
2014,PHL,Total,0.01165919
2015,PHL,Management of resources,0.016892085
2015,PHL,Total,0.016892085
2016,PHL,Management of resources,0.017779942
2016,PHL,Total,0.017779942
2010,POL,Management of resources,0.0
2010,POL,Research and development,0.0
2010,POL,Total,0.0
2011,POL,Management of resources,0.816874251
2011,POL,Research and development,0.629113679
2011,POL,Total,1.44598793
2012,POL,Management of resources,3.781545775
2012,POL,Research and development,3.315386061
2012,POL,Total,7.0969318359999995
2013,POL,Management of resources,4.217148623
2013,POL,Research and development,2.762408102
2013,POL,Total,6.979556725
2014,POL,Management of resources,3.983045033
2014,POL,Research and development,0.868206706
2014,POL,Total,4.851251739
2015,POL,Management of resources,5.065687571
2015,POL,Research and development,11.15680068
2015,POL,Total,16.222488251
2017,POL,Management of resources,3.159499412
2017,POL,Total,3.159499412
2018,POL,Management of resources,4.720273453
2018,POL,Total,4.720273453
2016,SVN,Management of resources,1.1930953
2016,SVN,Total,1.1930953
2017,SVN,Management of resources,1.006777181
2017,SVN,Total,1.006777181
2018,SVN,Management of resources,1.676566386
2018,SVN,Total,1.676566386
2010,SWE,Management of resources,44.39879993
2010,SWE,Research and development,24.91371732
2010,SWE,Total,69.31251725
2011,SWE,Management of resources,44.81183553
2011,SWE,Research and development,27.68317548
2011,SWE,Total,72.49501101
2012,SWE,Management of resources,32.07959639
2012,SWE,Research and development,18.58317936
2012,SWE,Total,50.662775749999994
2013,SWE,Management of resources,46.48048794
2013,SWE,Research and development,21.25799157
2013,SWE,Total,67.73847951
2014,SWE,Management of resources,45.37913196
2014,SWE,Research and development,19.61122479
2014,SWE,Total,64.99035675
2015,SWE,Management of resources,36.47788297
2015,SWE,Research and development,17.24635972
2015,SWE,Total,53.724242690000004
2016,SWE,Management of resources,32.62286289
2016,SWE,Research and development,17.51775499
2016,SWE,Total,50.14061788
2017,SWE,Management of resources,38.62760804
2017,SWE,Research and development,17.34581863
2017,SWE,Total,55.973426669999995
2018,SWE,Management of resources,64.3835469
2018,SWE,Research and development,16.53990957
2018,SWE,Total,80.92345646999999
2012,TUR,Management of resources,81.17024183
2012,TUR,Research and development,2.009372952
2012,TUR,Total,83.179614782
2013,TUR,Management of resources,115.9797737
2013,TUR,Research and development,2.52030805
2013,TUR,Total,118.50008174999999
2014,TUR,Management of resources,64.48017466
2014,TUR,Research and development,3.426206832
2014,TUR,Total,67.90638149200001
2015,TUR,Management of resources,81.82254784
2015,TUR,Research and development,4.039712864
2015,TUR,Total,85.862260704
2016,TUR,Management of resources,99.23185613
2016,TUR,Research and development,5.277163899
2016,TUR,Total,104.509020029
2017,TUR,Management of resources,72.64982558
2017,TUR,Research and development,4.440095275
2017,TUR,Total,77.089920855
2018,TUR,Management of resources,56.04169168
2018,TUR,Research and development,4.029204705
2018,TUR,Total,60.070896385
2010,TWN,Management of resources,10.25414949
2010,TWN,Research and development,4.855688304
2010,TWN,Total,15.109837794
2011,TWN,Management of resources,10.73415628
2011,TWN,Research and development,4.515617324
2011,TWN,Total,15.249773604000001
2012,TWN,Management of resources,12.04507242
2012,TWN,Research and development,4.534261988
2012,TWN,Total,16.579334408
2013,TWN,Management of resources,11.52692828
2013,TWN,Research and development,4.168767944
2013,TWN,Total,15.695696223999999
2014,TWN,Management of resources,11.54570491
2014,TWN,Research and development,3.848127221
2014,TWN,Total,15.393832131
2015,TWN,Management of resources,10.77101819
2015,TWN,Research and development,4.983708839
2015,TWN,Total,15.754727029
2016,TWN,Management of resources,12.69878602
2016,TWN,Research and development,5.614906469
2016,TWN,Total,18.313692489
2017,TWN,Management of resources,13.07274605
2017,TWN,Research and development,5.840216843
2017,TWN,Total,18.912962893
2018,TWN,Management of resources,12.72364487
2018,TWN,Research and development,4.250923393
2018,TWN,Total,16.974568263
2010,USA,Management of resources,733.408899
2010,USA,Research and development,91.2498232
2010,USA,Total,824.6587222
2011,USA,Management of resources,735.8100751
2011,USA,Research and development,75.630628
2011,USA,Total,811.4407031
2012,USA,Management of resources,698.654799
2012,USA,Research and development,59.13
2012,USA,Total,757.784799
2013,USA,Management of resources,671.8596477
2013,USA,Research and development,77.23547707
2013,USA,Total,749.09512477
2014,USA,Management of resources,698.7705
2014,USA,Research and development,83.783
2014,USA,Total,782.5535
2015,USA,Management of resources,710.238
2015,USA,Research and development,86.526
2015,USA,Total,796.764
2016,USA,Management of resources,734.1611966
2016,USA,Research and development,87.67265468
2016,USA,Total,821.8338512800001
2017,USA,Management of resources,730.6357514
2017,USA,Research and development,89.21477325
2017,USA,Total,819.85052465
2018,USA,Management of resources,754.9729769
2018,USA,Research and development,74.675773
2018,USA,Total,829.6487499000001
2010,VNM,Management of resources,17.54348264
2010,VNM,Research and development,0.175830163
2010,VNM,Total,17.719312803
2011,VNM,Management of resources,16.25200894
2011,VNM,Research and development,0.054407914
2011,VNM,Total,16.306416854
2012,VNM,Management of resources,16.08343019
2012,VNM,Research and development,0.562891728
2012,VNM,Total,16.646321918
2013,VNM,Management of resources,10.49234727
2013,VNM,Research and development,0.650935377
2013,VNM,Total,11.143282647
2014,VNM,Management of resources,16.0057213
2014,VNM,Research and development,0.662416512
2014,VNM,Total,16.668137812
2015,VNM,Management of resources,19.36850629
2015,VNM,Research and development,1.060749202
2015,VNM,Total,20.429255492
2016,VNM,Management of resources,18.18801545
2016,VNM,Research and development,1.010011025
2016,VNM,Total,19.198026475000002
